item,date,mean,median
Takeaway Pizza,2015-09-01,8.0274267,7.8499999
Takeaway Pizza,2015-10-01,7.9614072,7.75
Takeaway Pizza,2015-11-01,7.9384441,7.75
Takeaway Pizza,2015-12-01,7.8776865,7.6500001
Takeaway Pizza,2016-01-01,8.0520449,7.79
Takeaway Pizza,2016-02-01,7.9068937,7.6500001
Takeaway Pizza,2016-03-01,7.9492593,7.79
Takeaway Pizza,2016-04-01,7.9488807,7.6500001
Takeaway Pizza,2016-05-01,7.8514814,7.6500001
Takeaway Pizza,2016-06-01,7.9861193,7.6500001
Takeaway Pizza,2016-07-01,8.0466661,7.7200003
Takeaway Pizza,2016-08-01,8.1155558,7.79
Takeaway Pizza,2016-09-01,8.129179,7.79
Takeaway Pizza,2016-10-01,8.179924,7.9499998
Takeaway Pizza,2016-11-01,8.2012682,7.8699999
Takeaway Pizza,2016-12-01,8.2527609,7.8699999
Takeaway Pizza,2017-01-01,8.2097034,7.6500001
Takeaway Pizza,2017-02-01,8.1988802,7.8699999
Takeaway Pizza,2017-03-01,8.2288237,7.9499998
Takeaway Pizza,2017-04-01,8.2754812,7.9899998
Takeaway Pizza,2017-05-01,8.2430372,7.9499998
Takeaway Pizza,2017-06-01,8.2183819,7.9499998
Takeaway Pizza,2017-07-01,8.1768379,7.9499998
Takeaway Pizza,2017-08-01,8.3158331,7.9699998
Takeaway Pizza,2017-09-01,8.3867912,7.9899998
